Date,AveragePrice,Total_Volume,4046,4225,4770,Total_Bags,type,region
2015-01-11,1.0,2429097.99,850184.3,850184.3,121454.9,607274.5,conventional,Great_Lakes
2015-01-11,1.58,115414.83,40395.19,40395.19,5770.74,28853.71,organic,Great_Lakes
2015-01-11,1.18,1511223.4,528928.19,528928.19,75561.17,377805.85,conventional,MidSouth
2015-01-11,1.7,74758.92,26165.62,26165.62,3737.95,18689.73,organic,MidSouth
2015-01-11,1.08,3579231.87,1252731.16,1252731.16,178961.59,894807.97,conventional,SouthCentral
2015-01-11,1.8,136276.83,47696.89,47696.89,6813.84,34069.21,organic,SouthCentral
2015-01-18,1.07,2904358.54,1016525.49,1016525.49,145217.93,726089.63,conventional,California
2015-01-18,1.7,128360.88,44926.31,44926.31,6418.04,32090.22,organic,California
2015-01-18,1.1,3001513.62,1050529.77,1050529.77,150075.68,750378.41,conventional,West
2015-01-18,1.48,135059.5,47270.83,47270.83,6752.98,33764.88,organic,West
2015-01-18,1.23,2586742.26,905359.79,905359.79,129337.11,646685.56,conventional,Northeast
2015-01-18,1.64,126850.46,44397.66,44397.66,6342.52,31712.62,organic,Northeast
2015-01-18,1.19,2061835.32,721642.36,721642.36,103091.77,515458.83,conventional,Southeast
2015-01-18,1.7,112706.8,39447.38,39447.38,5635.34,28176.7,organic,Southeast
2015-01-18,1.15,2464918.33,862721.42,862721.42,123245.92,616229.58,conventional,Great_Lakes
2015-01-18,1.26,158994.37,55648.03,55648.03,7949.72,39748.59,organic,Great_Lakes
2015-01-18,1.16,1746159.52,611155.83,611155.83,87307.98,436539.88,conventional,MidSouth
2015-01-18,1.66,65700.97,22995.34,22995.34,3285.05,16425.24,organic,MidSouth
2015-01-18,1.13,3330287.33,1165600.56,1165600.56,166514.37,832571.83,conventional,SouthCentral
2015-01-18,1.87,111611.64,39064.07,39064.07,5580.58,27902.91,organic,SouthCentral
2015-01-25,1.07,2849694.27,997392.99,997392.99,142484.71,712423.57,conventional,California
2015-01-25,1.79,111582.8,39053.98,39053.98,5579.14,27895.7,organic,California
2015-01-25,1.1,3192427.39,1117349.59,1117349.59,159621.37,798106.85,conventional,West
2015-01-25,1.66,141177.77,49412.22,49412.22,7058.89,35294.44,organic,West
2015-01-25,1.08,2663826.05,932339.12,932339.12,133191.3,665956.51,conventional,Northeast
2015-01-25,1.59,103637.36,36273.07,36273.07,5181.87,25909.34,organic,Northeast
2015-01-25,1.18,2232258.43,781290.45,781290.45,111612.92,558064.61,conventional,Southeast
2015-01-25,1.65,99019.74,34656.91,34656.91,4950.99,24754.94,organic,Southeast
2015-01-25,1.01,2468482.6,863968.91,863968.91,123424.13,617120.65,conventional,Great_Lakes
2015-01-25,1.6,94245.46,32985.91,32985.91,4712.27,23561.37,organic,Great_Lakes
2015-01-25,1.13,1897893.59,664262.76,664262.76,94894.68,474473.4,conventional,MidSouth
2015-01-25,1.93,65130.86,22795.8,22795.8,3256.54,16282.71,organic,MidSouth
2015-01-25,1.18,3054878.43,1069207.45,1069207.45,152743.92,763719.61,conventional,SouthCentral
2015-01-25,1.36,188825.74,66089.01,66089.01,9441.29,47206.44,organic,SouthCentral
2015-02-01,1.16,3443788.1,1205325.84,1205325.84,172189.41,860947.03,conventional,California
2015-02-01,1.62,135399.05,47389.67,47389.67,6769.95,33849.76,organic,California
2015-02-01,1.15,2775595.64,971458.47,971458.47,138779.78,693898.91,conventional,West
2015-02-01,1.82,126858.95,44400.63,44400.63,6342.95,31714.74,organic,West
2015-02-01,1.23,2273100.9,795585.32,795585.32,113655.05,568275.23,conventional,Northeast
2015-02-01,1.86,86694.53,30343.08,30343.08,4334.73,21673.63,organic,Northeast
2015-02-01,1.21,2655791.47,929527.01,929527.01,132789.57,663947.87,conventional,Southeast
2015-02-01,1.5,116071.17,40624.91,40624.91,5803.56,29017.79,organic,Southeast
2015-02-01,1.16,2163734.69,757307.14,757307.14,108186.73,540933.67,conventional,Great_Lakes
2015-02-01,1.42,129443.87,45305.35,45305.35,6472.19,32360.97,organic,Great_Lakes
2015-02-01,1.04,2224692.22,778642.28,778642.28,111234.61,556173.05,conventional,MidSouth
2015-02-01,1.51,113529.66,39735.38,39735.38,5676.48,28382.42,organic,MidSouth
2015-02-01,1.07,3534607.92,1237112.77,1237112.77,176730.4,883651.98,conventional,SouthCentral
2015-02-01,1.77,118587.26,41505.54,41505.54,5929.36,29646.81,organic,SouthCentral
2015-02-08,1.17,3083703.2,1079296.12,1079296.12,154185.16,770925.8,conventional,California
2015-02-08,1.41,165181.5,57813.52,57813.52,8259.07,41295.37,organic,California
2015-02-08,1.18,3143048.04,1100066.81,1100066.81,157152.4,785762.01,conventional,West
2015-02-08,1.46,143027.53,50059.63,50059.63,7151.38,35756.88,organic,West
2015-02-08,1.2,2573650.34,900777.62,900777.62,128682.52,643412.59,conventional,Northeast
2015-02-08,1.69,119520.21,41832.07,41832.07,5976.01,29880.05,organic,Northeast
2015-02-08,1.08,2607762.08,912716.73,912716.73,130388.1,651940.52,conventional,Southeast
2015-02-08,1.69,95431.67,33401.08,33401.08,4771.58,23857.92,organic,Southeast
2015-02-08,1.34,1959849.37,685947.28,685947.28,97992.47,489962.34,conventional,Great_Lakes
2015-02-08,1.47,129808.35,45432.92,45432.92,6490.42,32452.09,organic,Great_Lakes
2015-02-08,1.05,2257478.07,790117.32,790117.32,112873.9,564369.52,conventional,MidSouth
2015-02-08,1.82,67617.28,23666.05,23666.05,3380.86,16904.32,organic,MidSouth
2015-02-08,1.25,3103890.34,1086361.62,1086361.62,155194.52,775972.58,conventional,SouthCentral
2015-02-08,1.77,161956.93,56684.93,56684.93,8097.85,40489.23,organic,SouthCentral
2015-02-15,1.13,2753037.31,963563.06,963563.06,137651.87,688259.33,conventional,California
2015-02-15,1.52,133822.03,46837.71,46837.71,6691.1,33455.51,organic,California
2015-02-15,1.14,3146472.19,1101265.27,1101265.27,157323.61,786618.05,conventional,West
2015-02-15,1.69,142822.34,49987.82,49987.82,7141.12,35705.59,organic,West
2015-02-15,1.15,2979989.48,1042996.32,1042996.32,148999.47,744997.37,conventional,Northeast
2015-02-15,1.61,162578.89,56902.61,56902.61,8128.94,40644.72,organic,Northeast
2015-02-15,1.21,2072854.01,725498.9,725498.9,103642.7,518213.5,conventional,Southeast
2015-02-15,1.49,130473.64,45665.77,45665.77,6523.68,32618.41,organic,Southeast
2015-02-15,1.13,2470813.33,864784.67,864784.67,123540.67,617703.33,conventional,Great_Lakes
2015-02-15,1.72,95392.43,33387.35,33387.35,4769.62,23848.11,organic,Great_Lakes
2015-02-15,1.07,1849651.31,647377.96,647377.96,92482.57,462412.83,conventional,MidSouth
2015-02-15,1.58,98883.46,34609.21,34609.21,4944.17,24720.86,organic,MidSouth
2015-02-15,1.17,2937259.05,1028040.67,1028040.67,146862.95,734314.76,conventional,SouthCentral
2015-02-15,1.68,151541.47,53039.51,53039.51,7577.07,37885.37,organic,SouthCentral
2015-02-22,1.06,3184529.36,1114585.28,1114585.28,159226.47,796132.34,conventional,California
2015-02-22,1.66,113227.02,39629.46,39629.46,5661.35,28306.76,organic,California
2015-02-22,1.19,3056120.89,1069642.31,1069642.31,152806.04,764030.22,conventional,West
2015-02-22,1.81,131718.16,46101.36,46101.36,6585.91,32929.54,organic,West
2015-02-22,1.01,2890782.9,1011774.01,1011774.01,144539.14,722695.72,conventional,Northeast
2015-02-22,1.73,117372.98,41080.54,41080.54,5868.65,29343.25,organic,Northeast
2015-02-22,1.2,3056203.09,1069671.08,1069671.08,152810.15,764050.77,conventional,Southeast
2015-02-22,1.74,110713.71,38749.8,38749.8,5535.69,27678.43,organic,Southeast
2015-02-22,1.25,2171441.89,760004.66,760004.66,108572.09,542860.47,conventional,Great_Lakes
2015-02-22,1.6,115351.18,40372.91,40372.91,5767.56,28837.8,organic,Great_Lakes
2015-02-22,1.07,2031125.94,710894.08,710894.08,101556.3,507781.48,conventional,MidSouth
2015-02-22,1.58,92021.42,32207.5,32207.5,4601.07,23005.35,organic,MidSouth
2015-02-22,1.38,2274096.48,795933.77,795933.77,113704.82,568524.12,conventional,SouthCentral
2015-02-22,1.75,116013.87,40604.86,40604.86,5800.69,29003.47,organic,SouthCentral
2015-03-01,1.1,3330648.59,1165727.01,1165727.01,166532.43,832662.15,conventional,California
2015-03-01,1.66,115899.51,40564.83,40564.83,5794.98,28974.88,organic,California
2015-03-01,1.08,3535489.6,1237421.36,1237421.36,176774.48,883872.4,conventional,West
2015-03-01,1.54,157350.88,55072.81,55072.81,7867.54,39337.72,organic,West
2015-03-01,1.15,2553863.3,893852.15,893852.15,127693.16,638465.82,conventional,Northeast
2015-03-01,1.97,99140.51,34699.18,34699.18,4957.03,24785.13,organic,Northeast
2015-03-01,0.95,3121764.1,1092617.43,1092617.43,156088.2,780441.02,conventional,Southeast
2015-03-01,1.55,129701.03,45395.36,45395.36,6485.05,32425.26,organic,Southeast
2015-03-01,1.07,2510809.0,878783.15,878783.15,125540.45,627702.25,conventional,Great_Lakes
2015-03-01,1.73,106201.89,37170.66,37170.66,5310.09,26550.47,organic,Great_Lakes
2015-03-01,1.03,2158117.89,755341.26,755341.26,107905.89,539529.47,conventional,MidSouth
2015-03-01,1.58,86890.17,30411.56,30411.56,4344.51,21722.54,organic,MidSouth
2015-03-01,1.33,2920342.13,1022119.74,1022119.74,146017.11,730085.53,conventional,SouthCentral
2015-03-01,1.46,199894.99,69963.25,69963.25,9994.75,49973.75,organic,SouthCentral
2015-03-08,1.36,2546145.94,891151.08,891151.08,127307.3,636536.48,conventional,California
2015-03-08,1.42,155055.21,54269.33,54269.33,7752.76,38763.8,organic,California
2015-03-08,1.28,2562439.19,896853.72,896853.72,128121.96,640609.8,conventional,West
2015-03-08,1.72,141444.59,49505.61,49505.61,7072.23,35361.15,organic,West
2015-03-08,1.06,2989072.09,1046175.23,1046175.23,149453.6,747268.02,conventional,Northeast
2015-03-08,1.16,185197.11,64818.99,64818.99,9259.86,46299.28,organic,Northeast
2015-03-08,1.12,2246304.92,786206.72,786206.72,112315.25,561576.23,conventional,Southeast
2015-03-08,1.89,76427.79,26749.73,26749.73,3821.39,19106.95,organic,Southeast
2015-03-08,1.11,2459006.91,860652.42,860652.42,122950.35,614751.73,conventional,Great_Lakes
2015-03-08,1.87,75025.04,26258.76,26258.76,3751.25,18756.26,organic,Great_Lakes
2015-03-08,1.27,1713584.76,599754.66,599754.66,85679.24,428396.19,conventional,MidSouth
2015-03-08,1.5,104603.53,36611.24,36611.24,5230.18,26150.88,organic,MidSouth
2015-03-08,1.17,3152996.71,1103548.85,1103548.85,157649.84,788249.18,conventional,SouthCentral
2015-03-08,1.66,144802.23,50680.78,50680.78,7240.11,36200.56,organic,SouthCentral
2015-03-15,1.16,3017304.6,1056056.61,1056056.61,150865.23,754326.15,conventional,California
2015-03-15,1.89,94011.74,32904.11,32904.11,4700.59,23502.93,organic,California
2015-03-15,1.36,2136902.56,747915.9,747915.9,106845.13,534225.64,conventional,West
2015-03-15,1.63,150422.84,52647.99,52647.99,7521.14,37605.71,organic,West
2015-03-15,1.18,2495995.25,873598.34,873598.34,124799.76,623998.81,conventional,Northeast
2015-03-15,1.62,119056.38,41669.73,41669.73,5952.82,29764.1,organic,Northeast
2015-03-15,1.09,2759583.27,965854.14,965854.14,137979.16,689895.82,conventional,Southeast
2015-03-15,1.7,96516.58,33780.8,33780.8,4825.83,24129.15,organic,Southeast
2015-03-15,1.24,2161853.06,756648.57,756648.57,108092.65,540463.27,conventional,Great_Lakes
2015-03-15,1.77,99695.12,34893.29,34893.29,4984.76,24923.78,organic,Great_Lakes
2015-03-15,1.07,2027722.4,709702.84,709702.84,101386.12,506930.6,conventional,MidSouth
2015-03-15,1.76,83614.62,29265.12,29265.12,4180.73,20903.66,organic,MidSouth
2015-03-15,1.15,3419460.03,1196811.01,1196811.01,170973.0,854865.01,conventional,SouthCentral
2015-03-15,1.84,121437.75,42503.21,42503.21,6071.89,30359.44,organic,SouthCentral
2015-03-22,1.2,2689621.56,941367.54,941367.54,134481.08,672405.39,conventional,California
2015-03-22,1.62,149769.44,52419.3,52419.3,7488.47,37442.36,organic,California
2015-03-22,1.23,3024196.73,1058468.86,1058468.86,151209.84,756049.18,conventional,West
2015-03-22,1.85,117642.79,41174.98,41174.98,5882.14,29410.7,organic,West
2015-03-22,1.22,2454313.03,859009.56,859009.56,122715.65,613578.26,conventional,Northeast
2015-03-22,1.7,114854.38,40199.03,40199.03,5742.72,28713.6,organic,Northeast
2015-03-22,1.16,2505439.03,876903.66,876903.66,125271.95,626359.76,conventional,Southeast
2015-03-22,1.53,150219.62,52576.87,52576.87,7510.98,37554.9,organic,Southeast
2015-03-22,1.05,2358025.1,825308.78,825308.78,117901.25,589506.27,conventional,Great_Lakes
2015-03-22,1.82,97038.6,33963.51,33963.51,4851.93,24259.65,organic,Great_Lakes
2015-03-22,1.21,1901060.86,665371.3,665371.3,95053.04,475265.21,conventional,MidSouth
2015-03-22,1.65,79496.92,27823.92,27823.92,3974.85,19874.23,organic,MidSouth
2015-03-22,1.16,3175410.64,1111393.72,1111393.72,158770.53,793852.66,conventional,SouthCentral
2015-03-22,1.8,131799.14,46129.7,46129.7,6589.96,32949.78,organic,SouthCentral
2015-03-29,1.07,3098977.6,1084642.16,1084642.16,154948.88,774744.4,conventional,California
2015-03-29,1.71,116464.65,40762.63,40762.63,5823.23,29116.16,organic,California
2015-03-29,1.07,3457109.92,1209988.47,1209988.47,172855.5,864277.48,conventional,West
2015-03-29,1.69,127746.03,44711.11,44711.11,6387.3,31936.51,organic,West
2015-03-29,1.1,2902350.29,1015822.6,1015822.6,145117.51,725587.57,conventional,Northeast
2015-03-29,1.43,130481.18,45668.41,45668.41,6524.06,32620.3,organic,Northeast
2015-03-29,1.08,2572587.43,900405.6,900405.6,128629.37,643146.86,conventional,Southeast
2015-03-29,1.7,120619.82,42216.94,42216.94,6030.99,30154.95,organic,Southeast
2015-03-29,1.24,2091375.24,731981.33,731981.33,104568.76,522843.81,conventional,Great_Lakes
2015-03-29,1.65,94484.6,33069.61,33069.61,4724.23,23621.15,organic,Great_Lakes
2015-03-29,1.15,1891041.85,661864.65,661864.65,94552.09,472760.46,conventional,MidSouth
2015-03-29,1.7,76529.47,26785.31,26785.31,3826.47,19132.37,organic,MidSouth
2015-03-29,1.2,3615493.78,1265422.82,1265422.82,180774.69,903873.45,conventional,SouthCentral
2015-03-29,1.63,160527.38,56184.58,56184.58,8026.37,40131.85,organic,SouthCentral
2015-04-05,1.22,2562783.13,896974.1,896974.1,128139.16,640695.78,conventional,California
2015-04-05,1.68,124289.9,43501.47,43501.47,6214.5,31072.48,organic,California
2015-04-05,1.16,2824038.55,988413.49,988413.49,141201.93,706009.64,conventional,West
2015-04-05,1.65,142966.2,50038.17,50038.17,7148.31,35741.55,organic,West
2015-04-05,1.3,2472537.22,865388.03,865388.03,123626.86,618134.31,conventional,Northeast
2015-04-05,1.97,84582.57,29603.9,29603.9,4229.13,21145.64,organic,Northeast
2015-04-05,1.24,2196784.61,768874.61,768874.61,109839.23,549196.15,conventional,Southeast
2015-04-05,1.98,74898.51,26214.48,26214.48,3744.93,18724.63,organic,Southeast
2015-04-05,1.07,2386255.87,835189.56,835189.56,119312.79,596563.97,conventional,Great_Lakes
2015-04-05,1.33,133979.69,46892.89,46892.89,6698.98,33494.92,organic,Great_Lakes
2015-04-05,1.07,2091690.84,732091.79,732091.79,104584.54,522922.71,conventional,MidSouth
2015-04-05,1.7,98284.53,34399.59,34399.59,4914.23,24571.13,organic,MidSouth
2015-04-05,1.25,2871346.88,1004971.41,1004971.41,143567.34,717836.72,conventional,SouthCentral
2015-04-05,1.52,178173.08,62360.58,62360.58,8908.65,44543.27,organic,SouthCentral
2015-04-12,1.02,3838149.06,1343352.17,1343352.17,191907.45,959537.26,conventional,California
2015-04-12,1.83,104784.92,36674.72,36674.72,5239.25,26196.23,organic,California
2015-04-12,0.98,4139284.45,1448749.56,1448749.56,206964.22,1034821.11,conventional,West
2015-04-12,1.63,156903.29,54916.15,54916.15,7845.16,39225.82,organic,West
2015-04-12,0.99,3051586.01,1068055.11,1068055.11,152579.3,762896.5,conventional,Northeast
2015-04-12,1.65,119892.9,41962.51,41962.51,5994.64,29973.22,organic,Northeast
2015-04-12,1.1,2620727.55,917254.64,917254.64,131036.38,655181.89,conventional,Southeast
2015-04-12,1.49,122509.89,42878.46,42878.46,6125.49,30627.47,organic,Southeast
2015-04-12,1.16,2342095.93,819733.58,819733.58,117104.8,585523.98,conventional,Great_Lakes
2015-04-12,1.76,83260.32,29141.11,29141.11,4163.02,20815.08,organic,Great_Lakes
2015-04-12,1.0,2513724.19,879803.47,879803.47,125686.21,628431.05,conventional,MidSouth
2015-04-12,1.7,75690.31,26491.61,26491.61,3784.52,18922.58,organic,MidSouth
2015-04-12,1.31,2861326.44,1001464.25,1001464.25,143066.32,715331.61,conventional,SouthCentral
2015-04-12,1.83,128991.64,45147.07,45147.07,6449.58,32247.91,organic,SouthCentral
2015-04-19,1.36,2665599.89,932959.96,932959.96,133279.99,666399.97,conventional,California
2015-04-19,1.61,145926.83,51074.39,51074.39,7296.34,36481.71,organic,California
2015-04-19,1.21,3163944.66,1107380.63,1107380.63,158197.23,790986.17,conventional,West
2015-04-19,1.51,167748.39,58711.94,58711.94,8387.42,41937.1,organic,West
2015-04-19,1.26,2067405.6,723591.96,723591.96,103370.28,516851.4,conventional,Northeast
2015-04-19,1.47,115515.12,40430.29,40430.29,5775.76,28878.78,organic,Northeast
2015-04-19,1.12,2587665.2,905682.82,905682.82,129383.26,646916.3,conventional,Southeast
2015-04-19,1.88,88647.12,31026.49,31026.49,4432.36,22161.78,organic,Southeast
2015-04-19,1.31,1727943.01,604780.05,604780.05,86397.15,431985.75,conventional,Great_Lakes
2015-04-19,1.39,131010.46,45853.66,45853.66,6550.52,32752.61,organic,Great_Lakes
2015-04-19,1.19,1816474.24,635765.98,635765.98,90823.71,454118.56,conventional,MidSouth
2015-04-19,1.34,115528.83,40435.09,40435.09,5776.44,28882.21,organic,MidSouth
2015-04-19,1.02,4072527.63,1425384.67,1425384.67,203626.38,1018131.91,conventional,SouthCentral
2015-04-19,1.7,129359.52,45275.83,45275.83,6467.98,32339.88,organic,SouthCentral
2015-04-26,1.1,2768890.69,969111.74,969111.74,138444.53,692222.67,conventional,California
2015-04-26,1.64,141981.15,49693.4,49693.4,7099.06,35495.29,organic,California
2015-04-26,1.05,3535735.02,1237507.26,1237507.26,176786.75,883933.76,conventional,West
2015-04-26,1.57,135770.85,47519.8,47519.8,6788.54,33942.71,organic,West
2015-04-26,1.14,2474202.99,865971.05,865971.05,123710.15,618550.75,conventional,Northeast
2015-04-26,1.57,114467.59,40063.66,40063.66,5723.38,28616.9,organic,Northeast
2015-04-26,1.35,1953033.97,683561.89,683561.89,97651.7,488258.49,conventional,Southeast
2015-04-26,1.55,120213.82,42074.84,42074.84,6010.69,30053.46,organic,Southeast
2015-04-26,1.14,2264809.93,792683.47,792683.47,113240.5,566202.48,conventional,Great_Lakes
2015-04-26,1.74,101770.49,35619.67,35619.67,5088.52,25442.62,organic,Great_Lakes
2015-04-26,1.1,1922348.0,672821.8,672821.8,96117.4,480587.0,conventional,MidSouth
2015-04-26,1.61,70381.84,24633.64,24633.64,3519.09,17595.46,organic,MidSouth
2015-04-26,1.0,4420026.72,1547009.35,1547009.35,221001.34,1105006.68,conventional,SouthCentral
2015-04-26,1.9,118132.81,41346.48,41346.48,5906.64,29533.2,organic,SouthCentral
2015-05-03,1.21,2611648.58,914077.0,914077.0,130582.43,652912.15,conventional,California
2015-05-03,2.11,94027.12,32909.49,32909.49,4701.36,23506.78,organic,California
2015-05-03,1.14,2713685.85,949790.05,949790.05,135684.29,678421.46,conventional,West
2015-05-03,1.41,167920.21,58772.07,58772.07,8396.01,41980.05,organic,West
2015-05-03,1.07,2455910.66,859568.73,859568.73,122795.53,613977.66,conventional,Northeast
2015-05-03,1.55,111666.36,39083.23,39083.23,5583.32,27916.59,organic,Northeast
2015-05-03,1.32,2040757.67,714265.18,714265.18,102037.88,510189.42,conventional,Southeast
2015-05-03,1.65,117749.22,41212.23,41212.23,5887.46,29437.3,organic,Southeast
2015-05-03,1.16,2005318.29,701861.4,701861.4,100265.91,501329.57,conventional,Great_Lakes
2015-05-03,1.88,84607.4,29612.59,29612.59,4230.37,21151.85,organic,Great_Lakes
2015-05-03,1.05,2001095.92,700383.57,700383.57,100054.8,500273.98,conventional,MidSouth
2015-05-03,1.52,80035.85,28012.55,28012.55,4001.79,20008.96,organic,MidSouth
2015-05-03,1.24,3341138.62,1169398.52,1169398.52,167056.93,835284.65,conventional,SouthCentral
2015-05-03,1.44,184236.22,64482.68,64482.68,9211.81,46059.05,organic,SouthCentral
2015-05-10,1.08,2801239.41,980433.79,980433.79,140061.97,700309.85,conventional,California
2015-05-10,1.56,121320.42,42462.15,42462.15,6066.02,30330.11,organic,California
2015-05-10,1.15,2688625.35,941018.87,941018.87,134431.27,672156.34,conventional,West
2015-05-10,1.69,124571.14,43599.9,43599.9,6228.56,31142.79,organic,West
2015-05-10,1.13,2413019.33,844556.77,844556.77,120650.97,603254.83,conventional,Northeast
2015-05-10,1.56,132838.03,46493.31,46493.31,6641.9,33209.51,organic,Northeast
2015-05-10,1.2,1978639.51,692523.83,692523.83,98931.98,494659.88,conventional,Southeast
2015-05-10,1.66,107891.84,37762.15,37762.15,5394.59,26972.96,organic,Southeast
2015-05-10,0.98,2752790.95,963476.83,963476.83,137639.55,688197.74,conventional,Great_Lakes
2015-05-10,1.55,113171.77,39610.12,39610.12,5658.59,28292.94,organic,Great_Lakes
2015-05-10,1.07,1702706.7,595947.34,595947.34,85135.33,425676.67,conventional,MidSouth
2015-05-10,1.41,103681.11,36288.39,36288.39,5184.06,25920.28,organic,MidSouth
2015-05-10,1.18,2857991.87,1000297.15,1000297.15,142899.59,714497.97,conventional,SouthCentral
2015-05-10,1.75,110514.69,38680.14,38680.14,5525.73,27628.67,organic,SouthCentral
2015-05-17,1.14,2475772.65,866520.43,866520.43,123788.63,618943.16,conventional,California
2015-05-17,1.55,134043.69,46915.29,46915.29,6702.18,33510.92,organic,California
2015-05-17,1.06,3087035.83,1080462.54,1080462.54,154351.79,771758.96,conventional,West
2015-05-17,1.8,107484.06,37619.42,37619.42,5374.2,26871.01,organic,West
2015-05-17,1.23,2115251.72,740338.1,740338.1,105762.59,528812.93,conventional,Northeast
2015-05-17,1.73,122290.64,42801.72,42801.72,6114.53,30572.66,organic,Northeast
2015-05-17,0.9,2865171.89,1002810.16,1002810.16,143258.59,716292.97,conventional,Southeast
2015-05-17,1.74,92063.04,32222.06,32222.06,4603.15,23015.76,organic,Southeast
2015-05-17,1.19,1983897.86,694364.25,694364.25,99194.89,495974.47,conventional,Great_Lakes
2015-05-17,1.66,94757.78,33165.22,33165.22,4737.89,23689.44,organic,Great_Lakes
2015-05-17,1.27,1632684.3,571439.5,571439.5,81634.21,408171.07,conventional,MidSouth
2015-05-17,1.7,74425.56,26048.95,26048.95,3721.28,18606.39,organic,MidSouth
2015-05-17,1.1,3221778.9,1127622.61,1127622.61,161088.94,805444.72,conventional,SouthCentral
2015-05-17,1.71,129153.54,45203.74,45203.74,6457.68,32288.38,organic,SouthCentral
2015-05-24,1.18,3099235.93,1084732.58,1084732.58,154961.8,774808.98,conventional,California
2015-05-24,1.78,105095.95,36783.58,36783.58,5254.8,26273.99,organic,California
2015-05-24,1.27,2469300.32,864255.11,864255.11,123465.02,617325.08,conventional,West
2015-05-24,1.34,159636.63,55872.82,55872.82,7981.83,39909.16,organic,West
2015-05-24,0.96,3068071.33,1073824.96,1073824.96,153403.57,767017.83,conventional,Northeast
2015-05-24,1.65,134013.16,46904.61,46904.61,6700.66,33503.29,organic,Northeast
2015-05-24,1.18,2141145.74,749401.01,749401.01,107057.29,535286.43,conventional,Southeast
2015-05-24,1.77,72917.0,25520.95,25520.95,3645.85,18229.25,organic,Southeast
2015-05-24,1.17,2246570.28,786299.6,786299.6,112328.51,561642.57,conventional,Great_Lakes
2015-05-24,1.43,135579.26,47452.74,47452.74,6778.96,33894.81,organic,Great_Lakes
2015-05-24,1.18,1684182.68,589463.94,589463.94,84209.13,421045.67,conventional,MidSouth
2015-05-24,1.74,93644.25,32775.49,32775.49,4682.21,23411.06,organic,MidSouth
2015-05-24,1.17,3160168.85,1106059.1,1106059.1,158008.44,790042.21,conventional,SouthCentral
2015-05-24,1.58,139065.99,48673.1,48673.1,6953.3,34766.5,organic,SouthCentral
2015-05-31,1.23,2317755.87,811214.55,811214.55,115887.79,579438.97,conventional,California
2015-05-31,1.66,114927.73,40224.71,40224.71,5746.39,28731.93,organic,California
2015-05-31,1.2,2819202.42,986720.85,986720.85,140960.12,704800.61,conventional,West
2015-05-31,1.81,107784.22,37724.48,37724.48,5389.21,26946.06,organic,West
2015-05-31,1.12,2407576.08,842651.63,842651.63,120378.8,601894.02,conventional,Northeast
2015-05-31,1.58,125508.91,43928.12,43928.12,6275.45,31377.23,organic,Northeast
2015-05-31,1.23,1935661.62,677481.57,677481.57,96783.08,483915.41,conventional,Southeast
2015-05-31,1.78,103638.64,36273.53,36273.53,5181.93,25909.66,organic,Southeast
2015-05-31,1.19,2408685.1,843039.78,843039.78,120434.25,602171.27,conventional,Great_Lakes
2015-05-31,1.53,95928.14,33574.85,33574.85,4796.41,23982.04,organic,Great_Lakes
2015-05-31,0.97,2510510.61,878678.71,878678.71,125525.53,627627.65,conventional,MidSouth
2015-05-31,1.75,74002.19,25900.77,25900.77,3700.11,18500.55,organic,MidSouth
2015-05-31,1.18,2801836.88,980642.91,980642.91,140091.84,700459.22,conventional,SouthCentral
